code  ,db_code_desc                                                        ,clean_name                                                      ,CLEAN NAME EDITED                         ,
32663 ,THORACOSCOPY W/LOBECTOMY SINGLE LOBE                                ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/PARTIAL LUNG REMOVAL   ,
32664 ,THORACOSCOPY W/THORACIC SYMPATHECTOMY                               ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/SYMPATHECTOMY          ,
32665 ,THORACOSCOPY W/ESOPHAGOMYOTOMY HELLER TYPE                          ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/ESOPHAGEAL PROCEDURE   ,
32666 ,THORACOSCOPY W/THERA WEDGE RESEXN INITIAL UNILAT                    ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/WEDGE RESECTION        ,
32667 ,THORACOSCOPY W/THERA WEDGE RESEXN ADDL IPSILATRL                    ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/WEDGE RESECTION        ,
32668 ,THORACOSCOPY W/DX WEDGE RESEXN ANATO LUNG RESEXN                    ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/WEDGE RESECTION        ,
32669 ,THORACOSCOPY W/SEGMENTECTOMY                                        ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/PARTIAL LUNG REMOVAL   ,
32670 ,THORACOSCOPY W/BILOBECTOMY                                          ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/PARTIAL LUNG REMOVAL   ,
32671 ,THORACOSCOPY W/PNEUMONECTOMY                                        ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/PNEUMONECTOMY          ,
32672 ,THORACOSCOPY W/RESEXN-PLICAJ EMPHYSEMA LUNG UNIL                    ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/LUNG PROCEDURE         ,
32673 ,THORACOSCOPY RESEXN THYMUS UNI/BILATERAL                            ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/THYMECTOMY             ,
32674 ,THORCOSCPY W/MEDIASTINL & REGIONL LYMPHDENECTOMY                    ,Thoracoscopy                                                    ,THORACOSCOPY(VATS)/LYMPHADENECTOMY        ,
32800 ,REPAIR LUNG HERNIA THROUGH CHEST WALL                               ,                                                                ,MUSCULOSKELETAL THORACIC PROCEDURE        ,
32810 ,CLOSE CHEST AFTER DRAINAGE                                          ,Thoracic/Lung procedure                                         ,MUSCULOSKELETAL THORACIC PROCEDURE        ,
32815 ,OPEN CLOSURE MAJOR BRONCHIAL FISTULA                                ,                                                                ,THORACOTOMY                               ,
32820 ,MAJOR RECONSTRUCTION CHEST WALL POSTTRAUMATIC                       ,                                                                ,MUSCULOSKELETAL THORACIC PROCEDURE        ,
32851 ,LUNG TRANSPLANT 1 W/O CARDIOPULMONARY BYPASS                        ,Lung Transplant                                                 ,LUNG TRANSPLANT                           ,
32852 ,LUNG TRANSPLANT 1 W/CARDIOPULMONARY BYPASS                          ,Lung Transplant                                                 ,LUNG TRANSPLANT                           ,
32853 ,LUNG TRANSPLANT 2 W/O CARDIOPULMONARY BYPASS                        ,Lung Transplant                                                 ,LUNG TRANSPLANT                           ,
32854 ,LUNG TRANSPLANT 2 W/CARDIOPULMONARY BYPASS                          ,Lung Transplant                                                 ,LUNG TRANSPLANT                           ,
32855 ,BKBENCH PREPJ CADAVER DONOR LUNG ALLOGRAFT UNI                      ,                                                                ,EXCLUDE/IGNORE                            ,
32856 ,BKBENCH PREPJ CADAVER DONOR LUNG ALLOGRAFT BI                       ,                                                                ,EXCLUDE/IGNORE                            ,
32900 ,REMOVAL OF RIB(S)                                                   ,Thoracic/Lung procedure                                         ,THORACOPLASTY                             ,
32905 ,THORACOPLASTY                                                       ,Thoracic/Lung procedure                                         ,THORACOPLASTY                             ,
32906 ,"THORACOPLASTY,CLOSE BP FISTULA "                                   ,Thoracic/Lung procedure                                         ,THORACOPLASTY                             ,
33020 ,PERICARDIOTOMY REMOVAL CLOT/FOREIGN BODY PRIMARY                    ,                                                                ,PERICARDIAL PROCEDURE                     ,
33025 ,CRTJ PERICARDIAL WINDOW/PRTL RESECJ W/DRG/BX                        ,                                                                ,PERICARDIAL PROCEDURE                     ,
33030 ,PRICARDIECTOMY STOT/COMPL W/O CARDPULM BYPASS                       ,                                                                ,PERICARDIECTOMY                           ,
33031 ,PRICARDIECTOMY STOT/COMPL W/CARDPULM BYPASS                         ,                                                                ,PERICARDIECTOMY                           ,
33050 ,RESECTION PERICARDIAL CYST/TUMOR                                    ,                                                                ,PERICARDIAL PROCEDURE                     ,
33120 ,EXC INTRACARDIAC TUMOR RESCJ CARDIOPULMONARY BYP                    ,                                                                ,CARDIAC PROCEDURE                         ,
33130 ,REMOVAL HEART LESION EXTERN                                         ,Thoracic/cardiac procedure                                      ,CARDIAC PROCEDURE                         ,
33140 ,TRANSMYOCARDIAL LASER REVASCULAR THORACOTOMY SPX                    ,                                                                ,CARDIAC PROCEDURE                         ,
33141 ,TRANSMYOCRD LASER REVSC PFRMD TM OTH OPN CAR PX                     ,                                                                ,CARDIAC PROCEDURE                         ,
33202 ,INSERTION EPICARDIAL ELECTRODE OPEN                                 ,                                                                ,PACEMAKER PLACEMENT                       ,
33203 ,INSERTION EPICARDIAL ELECTRODE ENDOSCOPIC                           ,                                                                ,PACEMAKER PLACEMENT/ENDOSCOPIC            ,
33236 ,REMV EPICARD SYST ONE LD/THORACOTMY                                 ,Thoracic/cardiac procedure                                      ,PACEMAKER REMOVAL                         ,
33237 ,RMVL PRM EPICAR PM&ELTRDS THORCOM DUAL LEAD SY                      ,                                                                ,PACEMAKER REMOVAL                         ,
33238 ,RMVL PRM TRANSVENOUS ELECTRODE THORACOTOMY                          ,                                                                ,PACEMAKER REMOVAL                         ,
33243 ,RMVL 1/DUAL CHAMBER DEFIB ELECTRODE BY THORACOM                     ,                                                                ,PACEMAKER REMOVAL                         ,
33250 ,ABLATION SUPRAVENT ARRHYTHMOGENIC FOCUS                             ,Thoracic/cardiac procedure                                      ,ATRIAL ABLATION                           ,
33251 ,ABLAT HRT DYSRHYTHM FOCUS W BYPASS                                  ,Thoracic/cardiac procedure                                      ,ATRIAL ABLATION                           ,
33254 ,ABLATION & RECONSTRUCTION ATRIA LIMITED                             ,                                                                ,ATRIAL ABLATION                           ,
33255 ,"ABLATE/ RECONSTUCT ATRIA, EXTENS, W/O BYPASS"                      ,Thoracic/cardiac procedure                                      ,ATRIAL ABLATION                           ,
33256 ,ABLATION & RCNSTJ ATRIA EXTNSV W/BYPASS                             ,                                                                ,ATRIAL ABLATION                           ,
33257 ,ATRIA ABLATE & RCNSTJ W/OTHER PROCEDURE LIMITE                      ,                                                                ,ATRIAL ABLATION                           ,
33258 ,"ABLATE/ RECONSTUCT ATRIA, W OTHER PROCED EXTENS W/O BYPASS"        ,Thoracic/cardiac procedure                                      ,ATRIAL ABLATION                           ,
33259 ,ATRIA ABLTJ & RCNSTJ W/OTHER PX EXTEN W/BYPASS                      ,                                                                ,ATRIAL ABLATION                           ,
33261 ,OPRATIVE ABLTJ VENTR ARRHYTHMOGENIC FOC W/BYPASS                    ,                                                                ,VENTRICULAR ABLATION                      ,
33265 ,NDSC ABLATION & RCNSTJ ATRIA LIMITED W/O BYPAS                      ,                                                                ,ATRIAL ABLATION/ENDOSCOPIC                ,
33266 ,"ENDO ABLATE/ RECONSTUCT ATRIA, EXTENS, W/O BYPASS"                 ,Thoracic/cardiac procedure                                      ,ATRIAL ABLATION/ENDOSCOPIC                ,
33300 ,REPAIR CARDIAC WOUND W/O BYPASS                                     ,                                                                ,CARDIAC PROCEDURE                         ,
33305 ,REPAIR CARDIAC WOUND W/CARDIOPULMONARY BYPASS                       ,                                                                ,CARDIAC PROCEDURE                         ,
33310 ,CARDIOT EXPL W/RMVL FB ATR/VENTR THRMB W/O BYP                      ,                                                                ,CARDIAC PROCEDURE                         ,
33315 ,CARDIOT EXPL RMVL FB ATR/VENTR THRMB CARD BYP                       ,                                                                ,CARDIAC PROCEDURE                         ,
33320 ,SUTR RPR AORTA/GRT VSL W/O SHUNT/CARD BYP                           ,                                                                ,AORTA/GREAT VESSEL PROCEDURE              ,
33321 ,REAO/GRT VESSEL W SHNT BYPASS                                       ,Thoracic/cardiac procedure                                      ,AORTA/GREAT VESSEL PROCEDURE              ,
33322 ,SUTURE REPAIR AORTA/GREAT VESSEL W/BYPASS                           ,                                                                ,AORTA/GREAT VESSEL PROCEDURE              ,
33330 ,INSERT AO/GRT VESS GRFT                                             ,Thoracic/cardiac procedure                                      ,AORTA/GREAT VESSEL PROCEDURE              ,
33335 ,INSJ GRAFT AORTA/GREAT VESSEL W/BYPASS                              ,                                                                ,AORTA/GREAT VESSEL PROCEDURE              ,
33361 ,REPLACE AORTIC VALVE PERQ FEMORAL ARTRY APPROACH                    ,TAVR (perc fem artery approach)                                 ,TAVR                                      ,
33362 ,REPLACE AORTIC VALVE OPENFEMORAL ARTERY APPROACH                    ,Aortic valve procedure                                          ,TAVR                                      ,
33363 ,REPLACE AORTIC VALVE OPEN AXILLRY ARTRY APPROACH                    ,Aortic valve procedure                                          ,TAVR                                      ,
33364 ,REPLACE AORTIC VALVE OPEN ILIAC ARTERY APPROACH                     ,Aortic valve procedure                                          ,TAVR                                      ,
33365 ,REPLACE AORTIC VALVE OPEN TRANSAORTIC APPROACH                      ,Aortic valve procedure                                          ,TAVR                                      ,
33366 ,TRANSCATHETER TRANSAPICAL REPLACEMT AORTIC VALVE                    ,Aortic valve procedure                                          ,TAVR                                      ,
33390 ,VALVULOPLASTY AORTIC VALVE OPEN CARD BYP SIMPLE                     ,Aortic valve procedure                                          ,OPEN AORTIC VALVULOPLASTY                 ,
33391 ,VALVULOPLASTY AORTIC VALVE OPEN CARD BYP COMPLEX                    ,Aortic valve procedure                                          ,OPEN AORTIC VALVULOPLASTY                 ,
33404 ,PREPARE HEART-AORTA CONDUIT                                         ,Thoracic/cardiac procedure                                      ,AORTIC VALVE BYPASS                       ,
33405 ,RPLCMT PROST AORTIC VALVE OPEN XCP HOMOGRF/STENT                    ,Aortic valve replacement                                        ,OPEN AVR                                  ,
33406 ,REPLACE AORT VALVE W/ALLOGRAFT VALVE                                ,Aortic valve procedure                                          ,OPEN AVR                                  ,
33410 ,"REPLACE AORT VALV,TISSUE VALV"                                     ,Aortic valve procedure                                          ,OPEN AVR                                  ,
33411 ,RPLCMT AORTIC VALVE ANNULUS ENLGMENT NONC SINUS                     ,Aortic valve replacement                                        ,OPEN AVR                                  ,
33414 ,RPR VENTR O/F TRC OBSTRCJ PATCH ENLGMENT O/F TRC                    ,                                                                ,LEFT VENTRICLE PROCEDURE                  ,
33415 ,RESECTION/INCISION SUBVALVULAR TISSUE                               ,Aortic valve procedure                                          ,LEFT VENTRICLE PROCEDURE                  ,
33416 ,VENTRICULOMYOTOMY-MYECTOMY                                          ,                                                                ,LEFT VENTRICLE PROCEDURE                  ,
33417 ,AORTOPLASTY SUPRAVALVULAR STENOSIS                                  ,                                                                ,AORTA/GREAT VESSEL PROCEDURE              ,
33418 ,TCAT MITRAL VALVE REPAIR INITIAL PROSTHESIS                         ,TMVR (mitraclip)                                                ,TRANSCATHETER MITRAL VALVE PROCEDURE      ,
33419 ,TCAT MITRAL VALVE REPAIR ADDL PROSTHESIS                            ,TMVR (mitraclip)                                                ,TRANSCATHETER MITRAL VALVE PROCEDURE      ,
33422 ,VALVOTOMY MITRAL OPEN W CP BYPASS                                   ,Thoracic/cardiac procedure                                      ,MITRAL VALVE PROCEDURE                    ,
33425 ,VALVULOPLASTY MITRAL VALVE W/CARDIAC BYPASS                         ,Mitral/Tricuspid valve repair                                   ,OPEN MITRAL VALVULOPLASTY                 ,
33426 ,VLVP MITRAL VALVE W/CARD BYP W/PROSTC RING                          ,Mitral/Tricuspid valve repair                                   ,OPEN MITRAL VALVULOPLASTY                 ,
33427 ,VLVP MITRAL VALVE W/BYPASS RAD RCNSTJ W/WO RING                     ,Mitral/Tricuspid valve repair                                   ,OPEN MITRAL VALVULOPLASTY                 ,
33430 ,REPLACEMENT MITRAL VALVE W/CARDIOPULMONARY BYP                      ,Mitral/Tricuspid valve replacement                              ,OPEN MVR                                  ,
33460 ,VALVECTOMY TRICUSPID W CP BYPASS                                    ,Thoracic/cardiac procedure                                      ,TRICUSPID VALVE PROCEDURE                 ,
33463 ,VALVULOPLASTY TRICUSPID VALVE W/O RING INSERTION                    ,Mitral/Tricuspid valve repair                                   ,OPEN TRICUSPID VALVULOPLASTY              ,
33464 ,VALVULOPLASTY TRICUSPID VALVE W/RING INSERTION                      ,Mitral/Tricuspid valve repair                                   ,OPEN TRICUSPID VALVULOPLASTY              ,
33465 ,REPLACEMENT TRICUSPID VALVE W/CARD BYPASS                           ,Mitral/Tricuspid valve replacement                              ,OPEN TVR                                  ,
33474 ,PULM VALVOTOMY W CP BYPASS                                          ,Thoracic/cardiac procedure                                      ,PULMONARY VALVE PROCEDURE                 ,
33475 ,REPLACEMENT PULMONARY VALVE                                         ,                                                                ,OPEN PVR                                  ,
33476 ,R VENTRIC RESCJ INFUND STEN W/WO COMMISSUROTOMY                     ,                                                                ,RIGHT VENTRICLE PROCEDURE                 ,
33478 ,OUTFLOW TRACT AGMNTJ W/WO COMMISSUR/INFUND RESCJ                    ,                                                                ,RIGHT VENTRICLE PROCEDURE                 ,
33496 ,RPR NON-STRUCT PROSTC VALVE DYSFUNCTION W/BYPASS                    ,                                                                ,OPEN VALVE PROCEDURE                      ,
33500 ,RPR CORONARY AV/ARTERIOCAR CHMBR FSTL W/BYPASS                      ,                                                                ,CORONARY ARTERY ANOMALY PROCEDURE         ,
33501 ,REPAIR CORONARY FISTULA NO BYPASS                                   ,Thoracic/cardiac procedure                                      ,CORONARY ARTERY ANOMALY PROCEDURE         ,
33502 ,REANOMAL CORON ART PA ORIGIN BY LIGATN                              ,Thoracic/cardiac procedure                                      ,CORONARY ARTERY ANOMALY PROCEDURE         ,
33503 ,REANOMAL CORON ART PA ORIGIN BY GRAFT                               ,Thoracic/cardiac procedure                                      ,CORONARY ARTERY ANOMALY PROCEDURE         ,
33504 ,REANOMAL COR ART PA ORIGIN BY GRFT W PASS                           ,Thoracic/cardiac procedure                                      ,CORONARY ARTERY ANOMALY PROCEDURE         ,
33505 ,REANOMAL COR PA ORIGIN ART W/TUNNEL                                 ,Thoracic/cardiac procedure                                      ,CORONARY ARTERY ANOMALY PROCEDURE         ,
33506 ,RPR ANOM CORONARY ART FROM PULM ART TO AORTA                        ,                                                                ,CORONARY ARTERY ANOMALY PROCEDURE         ,
33507 ,RPR ANOM AORTIC ORIGIN CORONARY ART UNROOF/TLCJ                     ,                                                                ,CORONARY ARTERY ANOMALY PROCEDURE         ,
33508 ,NDSC SURG W/VIDEO-ASSISTED HARVEST VEIN CABG                        ,CABG                                                            ,CABG                                      ,
33510 ,CORONARY ARTERY BYPASS 1 CORONARY VENOUS GRAFT                      ,CABG                                                            ,CABG                                      ,
33511 ,CORONARY ARTERY BYPASS 2 CORONARY VENOUS GRAFTS                     ,CABG                                                            ,CABG                                      ,
33512 ,CORONARY ARTERY BYPASS 3 CORONARY VENOUS GRAFTS                     ,CABG                                                            ,CABG                                      ,
33513 ,CORONARY ARTERY BYPASS 4 CORONARY VENOUS GRAFTS                     ,CABG                                                            ,CABG                                      ,
33514 ,"CABG, VEIN, FIVE"                                                  ,CABG                                                            ,CABG                                      ,
33516 ,"CABG, VEIN, SIX+"                                                  ,CABG                                                            ,CABG                                      ,
33517 ,CORONARY ARTERY BYP W/VEIN & ARTERY GRAFT 1 VEIN                    ,CABG                                                            ,CABG                                      ,
33518 ,CORONARY ARTERY BYP W/VEIN & ARTERY GRAFT 2 VEIN                    ,CABG                                                            ,CABG                                      ,
33519 ,CORONARY ARTERY BYP W/VEIN & ARTERY GRAFT 3 VEIN                    ,CABG                                                            ,CABG                                      ,
33521 ,CORONARY ARTERY BYP W/VEIN & ARTERY GRAFT 4 VEIN                    ,CABG                                                            ,CABG                                      ,
33522 ,CORONARY ARTERY BYP W/VEIN & ARTERY GRAFT 5 VEIN                    ,CABG                                                            ,CABG                                      ,
33523 ,"CABG, ARTERY-VEIN, SIX+ "                                          ,CABG                                                            ,CABG                                      ,
33530 ,ROPRTJ CAB/VALVE PX > 1 MO AFTER ORIGINAL OPERJ                     ,                                                                ,REOPERATION CABG OR VALVE PROCEDURE       ,
33533 ,CABG W/ARTERIAL GRAFT SINGLE ARTERIAL GRAFT                         ,CABG                                                            ,CABG                                      ,
33534 ,CABG W/ARTERIAL GRAFT TWO ARTERIAL GRAFTS                           ,CABG                                                            ,CABG                                      ,
33535 ,CABG W/ARTERIAL GRAFT THREE ARTERIAL GRAFTS                         ,CABG                                                            ,CABG                                      ,
33536 ,CABG W/ARTERIAL GRAFT FOUR/>ARTERIAL GRAFTS                         ,CABG                                                            ,CABG                                      ,
33542 ,MYOCARDIAL RESECTION                                                ,                                                                ,VENTRICLE PROCEDURE                       ,
33545 ,RPR POSTINFRCJ VENTRICULAR SEPTAL DEFECT                            ,                                                                ,SEPTAL DEFECT PROCEDURE                   ,
33548 ,SURG VENTRICULAR RSTRJ PX W/PROSTC PATCH PFRMD                      ,                                                                ,VENTRICLE PROCEDURE                       ,
33572 ,CORONARY ENDARTERCOMY OPEN ANY METHOD                               ,                                                                ,CABG                                      ,
33641 ,RPR ATRIAL SEPTAL DFCT SECUNDUM W/BYP W/WO PATCH                    ,                                                                ,SEPTAL DEFECT PROCEDURE                   ,
33645 ,DIR/PTCH CLS SINUS VENOSUS W/WO ANOM PUL VEN DRG                    ,                                                                ,SEPTAL DEFECT PROCEDURE                   ,
33647 ,RPR ATRIAL & VENTRIC SEPTAL DFCT DIR/PATCH CLS                      ,                                                                ,SEPTAL DEFECT PROCEDURE                   ,
33675 ,CLOSE MULTIPLE VSD                                                  ,Thoracic/cardiac procedure                                      ,SEPTAL DEFECT PROCEDURE                   ,
33681 ,CLSR 1 VENTRICULAR SEPTAL DEFECT W/WO PATCH                         ,                                                                ,SEPTAL DEFECT PROCEDURE                   ,
33702 ,RPR SINUS VALSALVA FISTULA                                          ,                                                                ,SINUS OF VALSALVA PROCEDURE               ,
33710 ,REVALSALVA FISTULA & VSD                                            ,Thoracic/cardiac procedure                                      ,SINUS OF VALSALVA PROCEDURE               ,
33720 ,REVALSALVA ANEURYSM                                                 ,Thoracic/cardiac procedure                                      ,SINUS OF VALSALVA PROCEDURE               ,
33722 ,CLOS AORT-LT VENT TUNNEL                                            ,Thoracic/cardiac procedure                                      ,SINUS OF VALSALVA PROCEDURE               ,
