Code,Department,Procedure,Trunk Description,Branch Description,Stem Description,Stem Child Description,Code Description (Leaf)
00604,Anesthesia,Various Services - Category III Codes,,,,,ANES CERVICAL SPINE & CORD W/PATIENT SITTING
00620,Anesthesia,Various Services - Category III Codes,,,,,ANESTHESIA THORACIC SPINE & CORD NOS
00622,Anesthesia,Various Services - Category III Codes,,,,,ANES THORACIC SPINE & CORD THORACOLUMBAR SYMPTH
00625,Anesthesia,Various Services - Category III Codes,,,,,ANES THRC SPINE & CORD ANT APPR W/O 1 LUNG VENTJ
00626,Anesthesia,Various Services - Category III Codes,,,,,ANES THORACIC SPINE & CORD ANT APPR W/1 LNG VENT
00630,Anesthesia,Various Services - Category III Codes,,,,,ANESTHESIA LUMBAR REGION NOS
00632,Anesthesia,Various Services - Category III Codes,,,,,ANESTHESIA LUMBAR REGION LUMBAR SYMPATHECTOMY
00634,Anesthesia,Various Services - Category III Codes,,,,,ANESTHESIA LUMBAR CHEMONUCLEOLYSIS
00635,Anesthesia,Various Services - Category III Codes,,,,,ANES DIAGNOSTIC/THERAPEUTIC LUMBAR PUNCTURE
00640,Anesthesia,Various Services - Category III Codes,,,,,ANES MANIPULATE SPINE/CLSD CRV THORC/LUMBR SPINE
00670,Anesthesia,Various Services - Category III Codes,,,,,ANESTHESIA EXTENSIVE SPINE & SPINAL CORD
00700,Anesthesia,Anesthesia for Procedures on the Upper Abdomen,,,,,ANESTHESIA UPPER ANTERIOR ABDOMINAL WALL NOS
00702,Anesthesia,Anesthesia for Procedures on the Upper Abdomen,,,,,ANES UPR ANT ABDL WALL PERCUTANEOUS LIVER BX
00730,Anesthesia,Anesthesia for Procedures on the Upper Abdomen,,,,,ANESTHESIA UPPER POSTERIOR ABDOMINAL WALL
00731,Anesthesia,Anesthesia for Procedures on the Upper Abdomen,,,,,ANESTHESIA UPPER GI ENDOSCOPIC PX NOS
00732,Anesthesia,Anesthesia for Procedures on the Upper Abdomen,,,,,ANESTHESIA UPPER GI ENDOSCOPIC PX ERCP
00740,Anesthesia,Anesthesia for Procedures on the Upper Abdomen,,,,,ANES UPPER GI ENDOSCOPY PROXIMAL TO DUODENUM
00750,Anesthesia,Anesthesia for Procedures on the Upper Abdomen,,,,,ANESTHESIA HERNIA REPAIR UPPER ABDOMEN NOS
00752,Anesthesia,Anesthesia for Procedures on the Upper Abdomen,,,,,ANES HRNA RPR UPR ABD LMBR&VNT HERNIA&/DEHSN
00754,Anesthesia,Anesthesia for Procedures on the Upper Abdomen,,,,,ANES HERNIA REPAIR UPPER ABDOMEN OMPHALOCELE
00756,Anesthesia,Anesthesia for Procedures on the Upper Abdomen,,,,,ANES HRNA REPAIR UPR ABD TABDL RPR DIPHRG HRNA
00770,Anesthesia,Anesthesia for Procedures on the Upper Abdomen,,,,,ANESTHESIA MAJOR ABDOMINAL BLOOD VESSELS
00790,Anesthesia,Anesthesia for Procedures on the Upper Abdomen,,,,,ANES INTRAPERITONEAL UPPER ABDOMEN W/LAPS NOS
00792,Anesthesia,Anesthesia for Procedures on the Upper Abdomen,,,,,ANES LAPS PARTIAL HEPATECTOMY W/MGMT LIVER HEMOR
00794,Anesthesia,Anesthesia for Procedures on the Upper Abdomen,,,,,ANES LAPAROSCOPIC PARTIAL/TOTAL PANCREATECTOMY
00796,Anesthesia,Anesthesia for Procedures on the Upper Abdomen,,,,,ANES LAPAROSCOPIC LIVER TRANSPLANT
00797,Anesthesia,Anesthesia for Procedures on the Upper Abdomen,,,,,ANES IPR UPPER ABDOMEN LAPS GASTRIC RSTCV MO
00800,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANESTHESIA LOWER ANTERIOR ABDOMINAL WALL NOS
00802,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANES LOWER ANT ABDOMINAL WALL PANNICULECTOMY
00810,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANES LOWER INTESTINE ENDOSCOPY DISTAL DUODENUM
00811,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANESTHESIA LOWER INTST ENDOSCOPIC PX NOS
00812,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANESTHESIA LOWER INTST ENDOSCOPIC PX SCR COLSC
00813,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANESTHESIA COMBINED UPPER&LOWER GI ENDOSCOPIC PX
00820,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANESTHESIA LOWER POSTERIOR ABDOMINAL WALL
00830,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANESTHESIA HERNIA REPAIR LOWER ABDOMEN NOS
00832,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANES LWR ABD VENTRAL & INCISIONAL HERNIA REPAIR
00834,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANES HERNIA REPAIR LOWER ABDOMEN NOS & 1YR AGE
00836,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANES HRNA RPR LWR ABD NOS INFTS <37WK BRTH/50WK
00840,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANESTHESIA INTRAPERITONEAL LOWER ABD W/LAPS NOS
00842,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANES IPER LOWER ABDOMEN W/LAPS AMNIOCENTESIS
00844,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANES IPER LOWER ABD W/LAPS ABDOMINOPRNL RESCJ
00846,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANES IPER LOWER ABD W/LAPS RAD HYSTERECTOMY
00848,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANES IPER LOWER ABD W/LAPS PELVIC EXENTERATION
00851,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANES IPER LWR ABD W/LAPS TUBAL LIGATION/TRANSECT
00860,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANES EXTRAPERITONEAL LWR ABD W/URINARY TRACT NOS
00862,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANES XTRPRTL LOWER ABD UR TRACT RENAL DON NFRCT
00864,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANES XTRPRTL LWER ABD W/URINARY TRACT TOT CYSTEC
00865,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANES XTRPRTL LWR ABD W/URINARY TRACT RAD PRSTECT
00866,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANES XTRPRTL LOWER ABD W/URIN TRACT ADRENLECTOMY
00868,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANES XTRPRTL LWR ABD W/URIN TRACT RENAL TRANSPL
00870,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANES XTRPRTL LWR ABD W/URIN TRACT CSTOLITHOTOMY
00872,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANES LITHOTRP XTRCORP SHOCK WAVE W/WATER BATH
00873,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANES LITHOTRP XTRCORP SHOCK WAVE W/O WATER BATH
00880,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANESTHESIA MAJOR LOWER ABDOMINAL VESSELS NOS
00882,Anesthesia,Anesthesia for Procedures on the Lower Abdomen,,,,,ANES MAJOR LOWER ABDOMINAL VESSELS IVC LIGATION
00902,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANESTHESIA ANORECTAL PROCEDURE
00904,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANESTHESIA RADICAL PERINEAL PROCEDURE
00906,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANESTHESIA VULVECTOMY
00908,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANESTHESIA PERINEAL PROSTATECTOMY
00910,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANES TRANSURETHRAL W/URETHROCYSTOSCOPY NOS
00912,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANES TRANSURETHRAL RESECTION OF BLADDER TUMOR
00914,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANESTHESIA TRANSURETHRAL RESECTION OF PROSTATE
00916,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANES TRURL POST-TRURL RESECTION BLEEDING
00918,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANES TRURL FRAGMNTJ MANJ&/RMVL URETERAL CALCULUS
00920,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANESTHESIA MALE GENITALIA INCL OPEN URETHRAL PX
00921,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANES VASECTOMY UNI/BI INCL OPEN URETHRAL PX
00922,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANES SEMINAL VESICLES INCL OPEN URETHRAL PX
00924,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANES UNDSCND TESTIS UNI/BI INCL OPEN URTL PX
00926,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANES RAD ORCHIECTOMY INGUN INCL OPEN URTL PX
00928,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANES RAD ORCHIECTOMY ABDOMINAL INCL OPN URTL
00930,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANES ORCHIOPEXY UNI/BI INCL OPEN URETHRAL PX
00932,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANES COMPLETE AMPUTATION PENIS INCL OPEN URTL
00934,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANES RAD AMP PENIS W/BI INGUINAL LYMPH NODE RMVL
00936,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANES RAD AMP PENIS W/BI INGUNL&ILIAC LYMPH RMOVL
00938,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANES INSJ PENILE PROSTH PRNL INCL OPEN URTL
00940,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANESTHESIA VAGINAL PROCEDURE W/BIOPSY NOS
00942,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANES COLPTMY VAGNC COLPRPHY INCL BX W/OPN URTL
00944,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANESTHESIA VAGINAL HYSTERECTOMY INCL BIOPSY
00948,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANESTHESIA CERVICAL CERCLAGE INCLUDING BIOPSY
00950,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANESTHESIA CULDOSCOPY INCLUDING BIOPSY
00952,Anesthesia,Anesthesia for Procedures on the Perineum,,,,,ANES HYSTEROSCOPY&/HYSTEROSALPINGOGRAPHY W/BX
01112,Anesthesia,Anesthesia for Procedures on the Pelvis (Except Hip),,,,,ANES BONE MARROW ASPIR&/BX ANT/PST ILIAC CREST
01120,Anesthesia,Anesthesia for Procedures on the Pelvis (Except Hip),,,,,ANESTHESIA ON BONY PELVIS
01130,Anesthesia,Anesthesia for Procedures on the Pelvis (Except Hip),,,,,ANESTHESIA BODY CAST APPLICATION OR REVISION
01140,Anesthesia,Anesthesia for Procedures on the Pelvis (Except Hip),,,,,ANESTHESIA INTERPELVI ABDOMINAL AMPUTATION
01150,Anesthesia,Anesthesia for Procedures on the Pelvis (Except Hip),,,,,ANES RADICAL TUMOR PELVIS XCP HINDQUARTER AMP
01160,Anesthesia,Anesthesia for Procedures on the Pelvis (Except Hip),,,,,ANES CLOSED SYMPHYSIS PUBIS/SACROILIAC JOINT
01170,Anesthesia,Anesthesia for Procedures on the Pelvis (Except Hip),,,,,ANES OPEN SYMPHYSIS PUBIS/SACROILIAC JOINT
01173,Anesthesia,Anesthesia for Procedures on the Pelvis (Except Hip),,,,,ANES OPN RPR DISRPJ PELVIS/COLUMN FX ACETABULUM
01180,Anesthesia,Various Services - Category III Codes,,,,,ANESTHESIA OBTURATOR NEURECTOMY EXTRAPELVIC
01190,Anesthesia,Various Services - Category III Codes,,,,,ANESTHESIA OBTURATOR NEURECTOMY INTRAPELVIC
01200,Anesthesia,Anesthesia for Procedures on the Upper Leg (Except Knee),,,,,ANESTHESIA CLOSED HIP JOINT PROCEDURE
01202,Anesthesia,Anesthesia for Procedures on the Upper Leg (Except Knee),,,,,ANESTHESIA ARTHROSCOPIC HIP JOINT PROCEDURE
01210,Anesthesia,Anesthesia for Procedures on the Upper Leg (Except Knee),,,,,ANESTHESIA OPEN HIP JOINT PROCEDURE NOS
01212,Anesthesia,Anesthesia for Procedures on the Upper Leg (Except Knee),,,,,ANESTHESIA OPEN HIP JOINT DISARTICULATION
01214,Anesthesia,Anesthesia for Procedures on the Upper Leg (Except Knee),,,,,ANESTHESIA OPEN TOTAL HIP ARTHROPLASTY
01215,Anesthesia,Anesthesia for Procedures on the Upper Leg (Except Knee),,,,,ANESTHESIA OPEN REVISION TOTAL HIP ARTHROPLASTY
01220,Anesthesia,Anesthesia for Procedures on the Upper Leg (Except Knee),,,,,ANESTHESIA CLOSED PROCEDURES UPPER 2/3 FEMUR
01230,Anesthesia,Anesthesia for Procedures on the Upper Leg (Except Knee),,,,,ANESTHESIA OPEN PROCEDURES UPPER 2/3 FEMUR NOS
01232,Anesthesia,Anesthesia for Procedures on the Upper Leg (Except Knee),,,,,ANESTHESIA UPPER 2/3 FEMUR AMPUTATION
01234,Anesthesia,Anesthesia for Procedures on the Upper Leg (Except Knee),,,,,ANES UPPER 2/3 FEMUR RADICAL RESCECTION
01250,Anesthesia,Anesthesia for Procedures on the Upper Leg (Except Knee),,,,,ANES NERVE MUSC TENDON FASCIA & BURSAE UPPER LEG
01260,Anesthesia,Anesthesia for Procedures on the Upper Leg (Except Knee),,,,,ANES VEINS OF UPPER LEG INCLUDING EXPLORATION
01270,Anesthesia,Anesthesia for Procedures on the Upper Leg (Except Knee),,,,,ANESTHESIA ARTERIES UPPER LEG INCL BYPASS GRAFT
01272,Anesthesia,Anesthesia for Procedures on the Upper Leg (Except Knee),,,,,ANES ART UPPER LEG W/BYPASS GRAFT FEM ART LIG
01274,Anesthesia,Anesthesia for Procedures on the Upper Leg (Except Knee),,,,,ANES UPPER LEG W/BYPASS GRFT FEM ART EMBOLECTOMY
01320,Anesthesia,Anesthesia for Procedures on the Knee and Popliteal Area,,,,,ANES NERVE MUSC TENDON FASCIA&BURSA KNEE&/POPLT
01340,Anesthesia,Anesthesia for Procedures on the Knee and Popliteal Area,,,,,ANESTHESIA CLOSED PROCEDURES LOWER 1/3 FEMUR
01360,Anesthesia,Anesthesia for Procedures on the Knee and Popliteal Area,,,,,ANESTHESIA OPEN PROCEDURES LOWER 1/3 FEMUR
01380,Anesthesia,Anesthesia for Procedures on the Knee and Popliteal Area,,,,,ANESTHESIA CLOSED PROCEDURES KNEE JOINT
01382,Anesthesia,Anesthesia for Procedures on the Knee and Popliteal Area,,,,,ANESTH DIAGNOSTIC ARTHROSCOPIC PROC KNEE JOINT
01390,Anesthesia,Anesthesia for Procedures on the Knee and Popliteal Area,,,,,ANES CLOSED PROC UPPER END TIBIA FIBULA/PATELLA
01392,Anesthesia,Anesthesia for Procedures on the Knee and Popliteal Area,,,,,ANES OPEN PROC UPPER ENDS TIBIA FIBULA&/PATELLA
01400,Anesthesia,Anesthesia for Procedures on the Knee and Popliteal Area,,,,,ANES OPEN/SURG ARTHROSCOPIC PROC KNEE JOINT NOS
01402,Anesthesia,Anesthesia for Procedures on the Knee and Popliteal Area,,,,,ANESTH OPEN/SURG ARTHRS TOTAL KNEE ARTHROPLASTY
01404,Anesthesia,Anesthesia for Procedures on the Knee and Popliteal Area,,,,,ANESTH OPEN/SURG ARTHRS KNEE DISARTICULATION
01420,Anesthesia,Anesthesia for Procedures on the Knee and Popliteal Area,,,,,ANES CAST APPLICATION REMOVAL/REPAIR KNEE JOINT
01430,Anesthesia,Anesthesia for Procedures on the Knee and Popliteal Area,,,,,ANESTHESIA VEINS KNEE & POPLITEAL AREA NOS
01432,Anesthesia,Anesthesia for Procedures on the Knee and Popliteal Area,,,,,ANES KNEE & POPLITEAL ARTERY VEIN FISTULA NOS
01440,Anesthesia,Anesthesia for Procedures on the Knee and Popliteal Area,,,,,ANES ARTERIES OF KNEE & POPLITEAL AREA NOS
01442,Anesthesia,Anesthesia for Procedures on the Knee and Popliteal Area,,,,,ANES ART KNEE POPLITEAL TEAEC W/WO PATCH GRAFT
01444,Anesthesia,Anesthesia for Procedures on the Knee and Popliteal Area,,,,,ANES ART KNEE POPLITEAL EXC&GRF/RPR OCCLS/ARYS
01462,Anesthesia,Anesthesia for Procedures on the Lower Leg (Below Knee),,,,,ANESTHESIA CLOSED PROC LOWER LEG ANKLE & FOOT
01464,Anesthesia,Anesthesia for Procedures on the Lower Leg (Below Knee),,,,,ANESTHESIA ARTHROSCOPIC PROCEDURE ANKLE & FOOT
01470,Anesthesia,Anesthesia for Procedures on the Lower Leg (Below Knee),,,,,ANES NRV/MUS/TND/FASC LOWER LEG/ANKLE/FOOT NOS
01472,Anesthesia,Anesthesia for Procedures on the Lower Leg (Below Knee),,,,,ANES RPR RUPTURED ACHILLES TENDON W/WO GRAFT
01474,Anesthesia,Anesthesia for Procedures on the Lower Leg (Below Knee),,,,,ANESTHESIA GASTROCNEMIUS RECESSION
01480,Anesthesia,Anesthesia for Procedures on the Lower Leg (Below Knee),,,,,ANES OPEN PROC BONES LOWER LEG/ANKLE/FOOT NOS
01482,Anesthesia,Anesthesia for Procedures on the Lower Leg (Below Knee),,,,,ANES RADICAL RESECJ INCL BELOW KNEE AMPUTATION
01484,Anesthesia,Anesthesia for Procedures on the Lower Leg (Below Knee),,,,,ANES OPEN OSTEOTOMY/OSTEOPLASTY TIBIA&/FIBULA
01486,Anesthesia,Anesthesia for Procedures on the Lower Leg (Below Knee),,,,,ANESTHESIA OPEN TOTAL ANKLE REPLACEMENT
01490,Anesthesia,Anesthesia for Procedures on the Lower Leg (Below Knee),,,,,ANES LOWER LEG CAST APPLICATION REMOVAL/REPAIR
